"id","dob","sex"
"1212","19790401","M"
"1213","19790328","M"
"1214","19790410","M"
"1215","19790406","M"
"1216","19790407","M"
"1217","19790413","M"
"1218","19790413","M"
"1219","19790417","W"
"1220","19790424","M"
"1221","19790425","W"
"1222","19790424","M"
"1223","19790430","W"
"1224","19790506","M"
"1225","19790508","W"
"1226","19790513","M"
"1227","19790509","W"
"1228","19790517","W"
"1229","19790513","W"
"1230","19790519","M"
"1231","19790521","W"
"1232","19790512","W"
"1233","19790516","M"
"1234","19790520","M"
"1235","19790526","W"
"1236","19790519","M"
"1237","19790519","M"
"1238","19790520","W"
"1239","19790525","M"
"1240","19790603","M"
"1241","19790605","M"
"1242","19790602","W"
"1243","19790529","M"
"1244","19790607","M"
"1245","19790608","W"
"1246","19790603","W"
"1247","19790615","M"
"1248","19790618","M"
"1249","19790620","W"
"1250","19790620","M"
"1251","19790701","W"
"1252","19790628","M"
"1253","19790620","M"
"1254","19790621","W"
"1255","19790626","M"
"1256","19790705","M"
"1257","19790711","M"
"1258","19790717","W"
"1259","19790723","M"
"1260","19790728","W"
"1261","19790723","M"
"1262","19790801","M"
"1263","19790728","W"
"1264","19790801","M"
"1265","19790805","M"
"1266","19790811","W"
"1267","19790807","M"
"1268","19790810","W"
"1269","19790810","W"
"1270","19790811","M"
"1271","19790821","M"
"1272","19790817","M"
"1273","19790823","M"
"1274","19790830","W"
"1275","19790826","M"
"1276","19790826","W"
"1277","19790823","M"
"1278","19790827","W"
"1279","19790827","M"
"1280","19790826","W"
"1281","19790909","M"
"1282","19790905","M"
"1283","19790912","M"
"1284","19790908","M"
"1285","19790909","W"
"1286","19790911","W"
"1287","19790907","M"
"1288","19790911","W"
"1289","19790920","M"
"1290","19790918","W"
"1291","19790909","M"
"1292","19790923","M"
"1293","19790918","M"
"1294","19790923","M"
"1295","19790923","W"
"1296","19790925","M"
"1297","19790926","W"
"1298","19790927","M"
"1299","19791001","W"
"1300","19791008","W"
"1301","19791003","W"
"1302","19791007","M"
"1303","19791014","M"
"1304","19791014","M"
"1305","19791015","M"
"1306","19791011","M"
"1307","19791016","M"
"1308","19791019","M"
"1309","19791017","W"
"1310","19791018","W"
"1311","19791025","M"
"1312","19791028","W"
"1313","19791019","W"
"1314","19791023","M"
"1315","19791029","M"
"1316","19791101","M"
"1317","19791030","W"
"1318","19791030","M"
"1319","19791103","M"
"1320","19791101","M"
"1321","19791106","M"
"1322","19791104","W"
"1323","19791109","M"
"1324","19791105","W"
"1325","19791109","M"
"1326","19791102","M"
"1327","19791111","M"
"1328","19791118","M"
"1329","19791118","W"
"1330","19791119","W"
"1331","19791119","W"
"1332","19791122","M"
"1333","19791122","M"
"1334","19791124","W"
"1335","19791116","M"
"1336","19791116","M"
"1337","19791116","M"
"1338","19791129","M"
"1339","19791124","M"
"1340","19791125","W"
"1341","19791204","M"
"1342","19791201","M"
"1343","19791203","M"
"1344","19791208","M"
"1345","19791205","M"
"1346","19791205","M"
"1347","19791215","W"
"1348","19791211","M"
"1349","19791214","M"
"1350","19791210","M"
"1351","19791212","M"
"1352","19791216","W"
"1353","19791226","M"
"1354","19791224","M"
"1355","19791225","W"
"1356","19800104","W"
"1357","19800110","W"
"1358","19800103","M"
